nct_id,brief_title,official_title,overall_status,phases,conditions,enrollment_count,sponsor_name,sponsor_class,eligibility_criteria,min_age,max_age,sex,tumor_types_matched,us_site_count
NCT00588185,[18F]-Fluoro-2-Deoxy-D-Glucose and -[18F] Dihydro-Testosterone Pet Imaging in Patients With Progressive Prostate Cancer,[18F]-Fluoro-2-Deoxy-D-Glucose and -[18F] Dihydro-Testosterone Pet Imaging in Patients With Progressive Prostate Cancer,RECRUITING,NA,Prostate Cancer,300,Memorial Sloan Kettering Cancer Center,OTHER,"Inclusion Criteria:

* Patients with histologically confirmed prostate cancer.
* Progressive disease manifest by either:
* Imaging modalities:
* Bone Imaging: New osseous lesions on bone imaging (bone scintigraphy or NaF PET scan) and/or MRI or CT: An increase in measurable soft tissue disease, or the appearance of new sites of disease. Or
* Biochemical progression: A minimum of three rising PSA values from a baseline that are obtained 1 week or more apart, or 2 measurements 2 or more weeks apart.
* Visible lesions by either CT, bone imaging, or MRI consistent with disease.
* Informed consent.

Exclusion Criteria:

* Previous anaphylactic reaction to either FDHT or FDG
* Hepatic: Bilirubin \> 1.5 x upper limit of normal (ULN), AST/ALT \>2.5 x ULN, albumin \< 2 g/dl, and GGT \> 2.5 x ULN IF Alkaline phosphatase \> 2.5 x ULN
* Renal: Creatinine \>1.5 x ULN or creatinine clearance \< 60 mL/min",,,MALE,prostate,7
NCT00682032,The Effect of Beta-glucan in Non-Small Cell Lung Cancer,Beta-glucan's Immuno-modulatory Effect on Non-Small Cell Lung Cancer,RECRUITING,NA,Non Small Cell Lung Cancer,300,University of Louisville,OTHER,"AIM 2:

Inclusion Criteria:

* suspected or definitive diagnosis of non-small cell lung cancer (NSCLC)
* treatment naive or no treatment within 6 months prior to enrollment
* able to swallow pills
* Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 3
* absolute neutrophil count (ANC) at least 1500/microl
* able to understand and willing to sign a written informed consent document

Exclusion Criteria:

* history of hypersensitivity reactions attributed to beta-glucan
* currently receiving continuous corticosteroids or other ongoing immunosuppressive therapy
* presence of an uncontrolled intercurrent illness including but not limited to: ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements

AIM 3:

Inclusion Criteria:

* resectable non-small cell lung cancer (NSCLC), as determined by a thoracic surgeon
* treatment naive
* able to swallow pills
* Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 2
* must be an operative candidate
* absolute neutrophil count (ANC) at least 1500/microl
* able to understand and willing to sign a written informed consent document

Exclusion Criteria:

* history of hypersensitivity reactions attributed to beta-glucan
* currently receiving continuous corticosteroids or other ongoing immunosuppressive therapy
* presence of an uncontrolled intercurrent illness including but not limited to: ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements",18 Years,,ALL,nsclc,1
NCT00756665,Prostate Active Surveillance Study,Canary Prostate Active Surveillance Study,RECRUITING,,Prostatic Neoplasms,3000,University of Washington,OTHER,"Inclusion Criteria:

* Histologically confirmed adenocarcinoma of the prostate from a prostate biopsy.
* Clinically localized prostate cancer: T1-2, NX or N0, MX or M0.
* No previous treatment for prostate cancer (including hormonal therapy, radiation therapy, surgery, or chemotherapy).
* ECOG Performance Status 0 or 1.
* Patient has elected Active Surveillance as preferred management plan for prostate cancer.
* Patient consent has been obtained according to local Institutional Review Board for acquisition of research specimens.
* Patient is accessible and compliant for follow-up.
* Prostate cancer diagnosis cannot be more than 3 years prior to baseline visit date.
* No more than two prostate biopsies including the initial biopsy in which cancer was diagnosed.
* If cancer diagnosis is more than one year before enrollment, there must be two prostate biopsies including the initial biopsy in which cancer was diagnosed and a subsequent biopsy. The subsequent biopsy may occur on the same day as the baseline visit.
* Biopsies must have at least 10 cores.

Exclusion Criteria:

* Unwillingness or inability to undergo serial prostate biopsy.
* History of other malignancies, except: adequately treated non-melanoma skin cancer or adequately treated superficial bladder cancer (Ta) or other solid tumors curatively treated with no evidence of disease for \> 5 years.",21 Years,,MALE,prostate,10
NCT00823654,Serum Biomarkers to Characterize the Effects of Therapy on Ovarian Reserve in Premenopausal Women With Early-stage Breast Cancer or BRCA Mutations,Multi-Center Study of Serum Biomarkers to Characterize the Effects of Therapy on Ovarian Reserve in Premenopausal Women With Early-stage Breast Cancer BRCA Mutations,RECRUITING,,Breast Cancer,609,Memorial Sloan Kettering Cancer Center,OTHER,"Inclusion Criteria:

For Premenopausal Women with Early Stage Breast Cancer

1. Participant is between 18-44 years old.
2. Participant is premenopausal.
3. Participant is female.
4. Participant has a known breast cancer diagnosis of AJCC Stage 0-III breast cancer, regardless of hormone-receptor status or HER2-overexpression, before the start of planned adjuvant or neoadjuvant chemotherapy and/or hormonal therapy.
5. The chemotherapy regimen must be either CMF, anthracycline-containing, or taxane-containing. If hormonal therapy is planned, the regimen must be limited to tamoxifen All biologics are allowed in addition to the above therapies.
6. The participant has regular menstrual cycles; note: patients can have no more than 1 irregular cycle (too early or too late) within the past year and/or at least 10 spontaneous cycles within the past year. Exceptions are made for patients who have been pregnant in the last 12 months and patients with IUDs or a LARC.

Subject Inclusion:

For Unaffected High Risk Premenopausal Women with BRCA mutations

1. The participant is between 25 and 45 years of age.
2. The participant is female.
3. The patient has a known BRCA mutation.
4. Have regular menstrual (21-35 days); patients can have no more than 1 irregular cycle (too early or too late) within the past year or were pregnant in the past 12 months, and/or at least 10 spontaneous cycles within the past year. Exceptions are made for patients who have been pregnant in the last 12 months and patients with IUDs or a LARC.

Subject Inclusion:

For affected BRCA1 and BRCA2 mutation carriers, affected women with non-BRCA mutations, and BC patients with no mutations (control)

1 . Premenopausal women age 21-45 with stage 0-3 breast cancer. 2. No prior ovarian surgery or ovarian disease. 3. No prior chemotherapy. 4. Regular menstrual periods (21-35 days), no PCOS. 5. No hormonal contraception within the prior 4 weeks. 6. Mutation testing decision based on NCCN Guidelines V1.2021: according to these Guidelines, both centers test all pre-menopausal women with breast cancer for BRCA and non-BRCA mutations which are the subject of this proposal.

7\. Receiving an anthracycline (typically doxorubicin/Adriamycin) and Cy (AC)-based chemotherapy protocol.

Exclusion Criteria:

For Cohort of Premenopausal Women with Early Stage Breast Cancer

* Prior therapy for breast cancer or any other cancer, such as chemotherapy, hormonal therapy or immunotherapy.
* Ovarian resection, unilateral or bilateral oophorectomy, hysterectomy or radiation to pelvic region.
* Plans for risk-reducing bilateral oophorectomy within one year of completion of chemotherapy.
* Prior known infertility; infertility is defined as one year of inability to conceive despite unprotected intercourse and/or the need to use medication (e.g clomiphene) or assisted reproductive technology (e.g. intrauterine insemination or in vitro fertilization) to attempt pregnancy.
* Family history of a first-degree relative with non-surgical menopause \< age 40
* Current pregnancy.

Subject Exclusion Criteria:

For Unaffected High Risk Premenopausal Women with BRCA mutation

1. Participant has therapy for breast cancer or any other cancer, such as chemotherapy, hormonal therapy or immunotherapy.
2. Participant has ovarian resection, unilateral or bilateral oophorectomy, radiation to pelvic region.
3. Participant has Plans for risk-reducing bilateral oophorectomy within one year of completion of chemotherapy.
4. Participant has prior known infertility; infertility is defined as one year of inability to conceive despite unprotected intercourse and/or the need to use medication (e.g., clomiphene) or assisted reproductive technology (e.g., intrauterine insemination or in vitro fertilization) to attempt pregnancy.
5. Participant has a family history of a first-degree relative with non-surgical menopause \< age 40.
6. Participant is currently pregnant. For affected BRCA1 and BRCA2 mutation carriers, affected women with non-BRCA mutations, and BC patients with no mutations (control)

1\. Subjects who did not undergo mutation testing, as well as those who tested positive for more than one family (BRCA1, BRCA2, non-BRCA) of ATM-Pathway gene mutations, will be excluded.

2\. Women aged \>42 years will be excluded as they carry a very high probability of chemotherapy-induced OI49. It is important to select an age range where immediate OI is less likely to occur because if most women become menopausal post-chemotherapy, the comparison of ovarian reserve decline will not be feasible. 3. In our prior grant period, we showed that the AC-based and CMF regimens similarly compromise ovarian reserve (Fig. 1)9 Currently, the AC-based chemotherapy is utilized in \>90% breast ca cases, and CMF protocol is rarely administered9. For this reason and to enhance uniformity, rare non-AC-based protocols will be excluded. 4. A previous study showed that smoking and BRCA mutations may have additive negative effects on the age of menopause27, consequently, we will exclude current smokers (smoked 100 cigarettes lifetime and currently smokes, per CDC). Based on our past studies6,9, the smoking incidence is low in our study population (\<20%) and should not significantly limit accrual.

5\. BMI: In our recent publication9 (Fig. 1), the mean BMI was 24.22 ±0.4 (median 23.2; range 17-42); hence the extreme BMI values are rare in our population. Nevertheless, those with BMI of \<18.5 and \>40 will be excluded.",18 Years,44 Years,FEMALE,breast,8
NCT00843375,Evaluation of Stool Based Markers for the Early Detection of Colorectal Cancers and Adenomas,Evaluation of Stool Based Markers for the Early Detection of Colorectal Cancers and Adenomas,RECRUITING,,Colonic Neoplasms,1200,University of Michigan Rogel Cancer Center,OTHER,"Inclusion Criteria:

* Willing to sign informed consent
* Able to physically tolerate removal of up to 60 ml of blood
* Adults at least 18 years old
* Willing to collect 1-2 stool samples and prepare a Fecal Immunochemical Test (FIT)
* Pregnant or nursing women who otherwise meet the eligibility criteria may participate
* Subjects with one of the following:

  * Colorectal adenocarcinoma-not treated and in colon at time of stool collection (CRC bin)
  * Adenoma-pathologically confirmed adenoma present in colon at time of stool collection (Adenoma Bin)
  * Higher Risk Non-neoplastic Bin

    * Subjects with a personal history of adenomas (confirmed by pathology) with none present on qualifying colonoscopy
    * Subjects with a personal history of CRC (longer than 3 years ago because of exclusion criteria of cancer within last 3 years) with none present at time of qualifying colonoscopy
    * Any family history of CRC (1st degree relative)
    * Current positive screening stool test for blood, for DNA or for both within 12 months with no follow-up intervention.
  * Average Risk, Non-neoplastic Bin

    * No history or current finding of any colorectal neoplasia including CRC, adenomas, sessile serrated adenomas and no family history of CRC.
    * Subjects who had CRC that was successfully treated at least three years ago may be considered eligible for the adenoma bin if their polyps are adenomas and there is no evidence of CRC, or for the higher risk non-neoplastic bin as noted above.
    * Subjects whose screening colonoscopy shows any of these types of polyps may be included in the non-neoplastic or the higher risk non-neoplastic bin if they meet the other criteria noted above.

      * Hyperplastic polyps
      * Benign mucosal polyps
      * Polypoid granulation tissue
      * Prolapsed mucosal polyps
      * Inflammatory polyp
      * Transitional mucosal polyp
      * Lipoma
      * Gangleoneuroma
      * Neuroma
      * Hamartomatous polyp

Exclusion Criteria:

* Cancer patients who have had any surgery, radiation, or chemotherapy for their current colorectal cancer prior to collecting the baseline samples
* History of or clinically active Inflammatory Bowel Disease
* Known HNPCC or FAP
* Inability to provide informed consent.
* Other active malignancy within 3 years of enrollment except any of the following:

  * Squamous cell carcinoma of the skin
  * Basal cell carcinoma of the skin
  * Carcinoma in situ of the cervix, Stages Ia or Ib invasive squamous cell carcinoma of the cervix treated by surgery only. (Excluded if had pelvic radiation)
  * Stage Ia Grade 1 adenocarcinoma of the endometrium treated with surgery
* Patients on active chemotherapy or radiation treatment for any purpose
* Known HIV or chronic active viral hepatitis
* Women who are pregnant
* CT colonography (virtual colonoscopy) patients",18 Years,,ALL,colorectal,11
NCT00897117,Collecting and Analyzing Tissue Samples From Patients Undergoing Surgery for Non-Small Cell Lung Cancer,Molecular Fingerprinting of Lung Cancer,RECRUITING,,Lung Cancer,4000,Vanderbilt-Ingram Cancer Center,OTHER,"Inclusion criteria

* Diagnosis of non-small cell lung cancer

  * Clinical stage I and II disease
  * Resectable disease and complete surgical resection planned
* Treated on companion studies at Vanderbilt University, the Veterans Administration hospital, St. Thomas, and Vanderbilt-Ingram Cancer Center Affiliate Network
* Tumor specimen samples must be available at resection

Exclusion criteria

* Chemotherapy before surgery
* Radiotherapy before surgery",18 Years,120 Years,ALL,nsclc,3
NCT00898131,Collecting Tissue Samples for Future Research From Women Undergoing Surgery for Breast Cancer,Specialized Program of Research Excellence (SPORE) in Breast Cancer: Tissue and Specimen Collection,RECRUITING,,Breast Cancer,10000,Northwestern University,OTHER,"DISEASE CHARACTERISTICS:

* Undergoing surgery for breast cancer",,,FEMALE,breast,1
NCT00899301,Collecting and Storing Tissue Samples From Women With or Without Breast Cancer,Breast Tissue/Body Fluids Repository,RECRUITING,,Breast Cancer,4000,Vanderbilt-Ingram Cancer Center,OTHER,"* Breast lesion which is suspected to be cancer or a known diagnosis of breast cancer (any stage, at any point in the disease trajectory) who agrees to donate tissue/body fluids.
* Individuals of all races and ethnic groups are eligible for this trial. There is no restriction regarding age, race, or ethnicity. The trial is open to the accrual of men and women.
* Must sign informed consent for study of tumor specimens as part of a research project.
* Must give permission for their tumor specimens to be obtained from outside institutions for molecular analyses.
* Must be willing to be followed for recurrence, relapse and death from disease.

ELIGIBILITY CRITERIA FOR OPTIONAL PHYSICAL FUNCTION AND COGNITIVE ASSESSMENTS

* Must be 60 years of age or older
* Have completed initial round of cancer treatment
* Have completed the optional online survey and opted-in for the physical function and cognitive assessments",18 Years,,FEMALE,breast,1
NCT00899626,Gastrointestinal Biomarkers in Tissue and Biological Fluid Samples From Colorectal Cancer Patients,Novel Colon Cancer Markers in Gastrointestinal Tissue and Biofluids,RECRUITING,,Colorectal Cancer|Esophageal Cancer|Gastric Cancer|Pancreatic Cancer|Precancerous Condition,5000,Vanderbilt University Medical Center,OTHER,"DISEASE CHARACTERISTICS:

* Undergoing colonoscopy or endoscopy for diagnostic or screening purposes at the Vanderbilt University Medical Center or at the Veterans Affairs Medical Center AND
* Meets 1 of the following criteria:

  * Diagnosis of gastrointestinal (GI) cancer, polyps, or inflammatory bowel disease
  * History of previously treated GI cancer, polyps, or inflammatory bowel disease

PATIENT CHARACTERISTICS:

* Capable of giving informed consent
* Not mentally or medically impaired
* No bleeding disorder

PRIOR CONCURRENT THERAPY:

* See Disease Characteristics",18 Years,,ALL,colorectal,2
NCT00900419,"Biomarkers in Patients With Respiratory Tract Dysplasia or Lung Cancer, Head and Neck Cancer, or Aerodigestive Tract Cancer and in Normal Volunteers",Biomarkers and Dysplastic Respiratory Epithelium,RECRUITING,,Esophageal Cancer|Head and Neck Cancer|Lung Cancer|Precancerous Condition,700,"University of Colorado, Denver",OTHER,"Inclusion Criteria:

* Diagnosis of extensive and severe dysplasia of the respiratory epithelium
* Those without dysplasia of the respiratory epithelium

  * Recruited from the SPORE Tissue Procurement Screening Project or by private or academic physicians (for patients with moderate or severe dysplasia)
* Survived 1 or more aerodigestive system carcinoma for ≥ 1 year
* Completely resected stage I non-small cell cancer
* Undergoing any of the following procedures:

  * Routine panendoscopy for patients with head and neck cancer
  * Resection of a bronchogenic carcinoma
  * Bronchoscopy for diagnosis or staging of suspected lung cancer
  * Subsequent bronchoscopy for surveillance or monitoring of response to endobronchial treatment in patients with prior high-grade dysplasia or worse
  * No asthma
  * No lung disease
  * No respiratory illness within the past 2 weeks Patients suspected of or at risk for neoplastic lung disease who are undergoing a bronchoscopy in which differential diagnostic considerations may include multiple other etiologies such as infection and other processes.
  * Patients without dysplasia will be: patients undergoing clinically indicated bronchoscopy for conditions other than suspected lung cancer.

PATIENT CHARACTERISTICS:

* No clinically apparent bleeding diathesis
* No known bleeding disorder
* No anginal
* No clinically active coronary artery disease
* No multifocal premature ventricular contractions
* No poorly controlled congestive heart failure
* No myocardial infarction within the past 6 weeks
* No cardiac dysrhythmia that is potentially life threatening
* Well-controlled atrial fibrillation or rare (\< 2/min) premature ventricular contractions allowed
* No ventricular tachycardia or supraventricular tachycardia with a rapid ventricular response
* No other serious medical condition that would preclude a patient from undergoing a bronchoscopy
* No acute bronchitis or pneumonia within the past 8 weeks except when clinically proven as a possible result of lung cancer
* No hypoxemia (i.e., \< 90% saturation with supplemental oxygen) before bronchoscopy

PRIOR CONCURRENT THERAPY:

* See Disease Characteristics",21 Years,90 Years,ALL,nsclc,1
NCT00923221,Collection of Blood From Patients With Prostate Cancer,Collection of Blood From Patients With Prostate Cancer,RECRUITING,,Cancer Of Prostate|Prostate Cancer|Prostatic Neoplasms|Metastatic Prostate Cancer|Prostate,1000,National Cancer Institute (NCI),NIH,"* INCLUSION CRITERIA:

Individuals 18 years of age and older are eligible.

Individuals with a diagnosis of prostate cancer are eligible.

EXCLUSION CRITERIA:

Children are not eligible.",18 Years,,MALE,prostate,1
NCT00949819,Active Surveillance for Cancer of the Prostate (ASCaP),"The UCLA ASCAP Project is an Observational, Longitudinal, and Open-ended Study Aimed at Establishing a Structured Program of Non-interventional Follow-up for Localized Prostate Cancer.",RECRUITING,,Prostate Cancer,462,Jonsson Comprehensive Cancer Center,OTHER,"Inclusion Criteria:

1. Histologically confirmed adenocarcinoma of the prostate.
2. Clinically localized prostate cancer: T1-2, NX or N0, MX or M0.
3. No previous treatment for prostate cancer (including hormonal therapy, radiation therapy, surgery, or chemotherapy).
4. Patient has elected Active Surveillance as preferred management plan for prostate cancer.
5. Patient consent has been obtained according to local Institutional Review Board .
6. Patient is accessible and compliant for follow-up.

Exclusion Criteria:

1. Unwillingness or inability to undergo serial prostate biopsy.
2. Overall life expectancy less than 2 years
3. Advanced prostate cancer",30 Years,85 Years,MALE,prostate,1
