nct_id,tumor_type,facility,status,city,state,zip,country,lat,lon,contact_name,contact_phone,contact_email
NCT00588185,prostate,Memorial Sloan Kettering Bergen (Consent Only),RECRUITING,Montvale,New Jersey,07645,United States,41.04676,-74.02292,"Michael Morris, MD",646-422-4469,
NCT00588185,prostate,Memorial Sloan Kettering Commack (Consent only),RECRUITING,Commack,New York,11725,United States,40.84288,-73.29289,"Michael Morris, MD",646-422-4469,
NCT00588185,prostate,Memorial Sloan Kettering Westchester (Consent only),RECRUITING,Harrison,New York,10604,United States,40.96899,-73.71263,"Michael Morris, MD",646-422-4469,
NCT00588185,prostate,Memorial Sloan Kettering Cancer Center,RECRUITING,New York,New York,10065,United States,40.71427,-74.00597,"Michael Morris, M.D., Ph,D.",646-422-4469,
NCT00588185,prostate,Memorial Sloan Kettering Nassau (Consent Only),RECRUITING,Uniondale,New York,11553,United States,40.70038,-73.59291,"Michael Morris, MD",646-422-4469,
NCT00682032,nsclc,James Graham Brown Cancer Center,RECRUITING,Louisville,Kentucky,40202,United States,38.25424,-85.75941,"Goetz H Kloecker, MD",,
NCT00756665,prostate,Veterans Affairs San Francisco Health Care System,RECRUITING,San Francisco,California,94121,United States,37.77493,-122.41942,Kristy Li,415-502-0696,Kristy.li@va.gov
NCT00756665,prostate,"University of California, San Francisco",RECRUITING,San Francisco,California,94143,United States,37.77493,-122.41942,Imelda Tenggara-Hunter,415-353-7348,Imelda.Tenggara@ucsf.edu
NCT00756665,prostate,Stanford University,RECRUITING,Stanford,California,94305,United States,37.42411,-122.16608,Ned Realiza,650.498.8496,nrealiza@stanford.edu
NCT00756665,prostate,Emory University,RECRUITING,Atlanta,Georgia,30322,United States,33.749,-84.38798,Regan Bates,404-251-0636,regan.renee.bates@emory.edu
NCT00756665,prostate,Beth Israel Deaconess Medical Center/Harvard Medical School,RECRUITING,Boston,Massachusetts,02215,United States,42.35843,-71.05977,Gabriela NietoBlanco,(617) 632-1047,gnietobl@bidmc.harvard.edu
NCT00756665,prostate,University of Michigan,RECRUITING,Ann Arbor,Michigan,48105,United States,42.27756,-83.74088,Amy Kasputis,734-647-3411,amgursky@med.umich.edu
NCT00756665,prostate,"University of Texas Health Science Center, San Antonio",RECRUITING,San Antonio,Texas,78229,United States,29.42412,-98.49363,Rafael Sanchez,210-450-8272,sanchezr17@uthscsa.edu
NCT00756665,prostate,Eastern Virginia Medical School,RECRUITING,Norfolk,Virginia,23502,United States,36.84681,-76.28522,Amuktha Polkampally,757-452-3462,apolkampally@urologyofva.net
NCT00756665,prostate,Veterans Affairs Puget Sound Health Care System,RECRUITING,Seattle,Washington,98108,United States,47.60621,-122.33207,Branda Levchak,206-277-4760,Branda.Levchak@va.gov
NCT00756665,prostate,University of Washington,RECRUITING,Seattle,Washington,98195,United States,47.60621,-122.33207,Chenee Holcomb,206-598-0850,cnh3@uw.edu
NCT00823654,breast,Memorial Sloan Kettering Basking Ridge,RECRUITING,Basking Ridge,New Jersey,,United States,40.70621,-74.54932,"Shari Goldfarb, MD",646-888-5080,
NCT00823654,breast,Memorial Sloan Kettering Monmouth,RECRUITING,Middletown,New Jersey,07748,United States,40.39428,-74.11709,"Shari Goldfarb, MD",646-888-5080,
NCT00823654,breast,Memorial Sloan Kettering Bergen,RECRUITING,Montvale,New Jersey,07645,United States,41.04676,-74.02292,"Shari Goldfarb, MD",646-888-5080,
NCT00823654,breast,Memorial Sloan Kettering Commack,RECRUITING,Commack,New York,11725,United States,40.84288,-73.29289,"Shari Goldfarb, MD",646-888-5080,
NCT00823654,breast,Memorial Sloan Kettering Westchester,RECRUITING,Harrison,New York,10604,United States,40.96899,-73.71263,"Shari Goldfarb, MD",646-888-5080,
NCT00823654,breast,Memorial Sloan Kettering Cancer Center,RECRUITING,New York,New York,10065,United States,40.71427,-74.00597,"Shari Goldfarb, MD",646-888-5080,
NCT00823654,breast,New York Presbyterian Hospital-Weill Medical College of Cornell University,ACTIVE_NOT_RECRUITING,New York,New York,10065,United States,40.71427,-74.00597,,,
NCT00823654,breast,Memorial Sloan Kettering Nassau,RECRUITING,Uniondale,New York,11553,United States,40.70038,-73.59291,"Shari Goldfarb, MD",646-888-5080,
NCT00843375,colorectal,Cedars-Sinai Medical Center,RECRUITING,Los Angeles,California,90048,United States,34.05223,-118.24368,Karen Zaghiyan,310-289-9224,Karen.Zaghiyan@cshs.org
NCT00843375,colorectal,Carle Cancer Center,COMPLETED,Urbana,Illinois,61801,United States,40.11059,-88.20727,,,
NCT00843375,colorectal,Dana Farber Cancer Institute,RECRUITING,Boston,Massachusetts,02215,United States,42.35843,-71.05977,"Sapna Syngal, MD",,
NCT00843375,colorectal,University of Michigan,RECRUITING,Ann Arbor,Michigan,48109,United States,42.27756,-83.74088,Cancer AnswerLine,800-865-1125,CancerAnswerLine@med.umich.edu
NCT00843375,colorectal,University of Minnesota,RECRUITING,Minneapolis,Minnesota,55455,United States,44.97997,-93.26384,"Tim Church, MD",,
NCT00843375,colorectal,NYU Langone Health,RECRUITING,New York,New York,10016,United States,40.71427,-74.00597,"Aasma Shaukatr, MD",212-686-2500,Shaukat@nyulangone.org
NCT00843375,colorectal,University of North Carolina,COMPLETED,Chapel Hill,North Carolina,27599,United States,35.9132,-79.05584,,,
NCT00843375,colorectal,Oregon Health and Science University,RECRUITING,Portland,Oregon,97239,United States,45.52345,-122.67621,Seth Crockett,919-962-2608,crockese@ohsu.edu
NCT00843375,colorectal,Hershey Medical Center,COMPLETED,Hershey,Pennsylvania,17033,United States,40.28592,-76.65025,,,
NCT00843375,colorectal,M.D. Anderson Cancer Center,RECRUITING,Houston,Texas,77030,United States,29.76328,-95.36327,"Robert Bresalier, MD",,
NCT00843375,colorectal,University of Washington,RECRUITING,Seattle,Washington,98195,United States,47.60621,-122.33207,"William Grady, MD",,
NCT00897117,nsclc,Dan Rudy Cancer Center at Saint Thomas Hospital,COMPLETED,Nashville,Tennessee,37205,United States,36.16589,-86.78444,,,
NCT00897117,nsclc,Veterans Affairs Medical Center - Nashville,SUSPENDED,Nashville,Tennessee,37212,United States,36.16589,-86.78444,,,
NCT00897117,nsclc,Vanderbilt-Ingram Cancer Center,RECRUITING,Nashville,Tennessee,37232-6838,United States,36.16589,-86.78444,Clinical Trials Office - Vanderbilt-Ingram Cancer Center,800-811-8480,
NCT00898131,breast,Robert H. Lurie Comprehensive Cancer Center at Northwestern University,RECRUITING,Chicago,Illinois,60611-3013,United States,41.85003,-87.65005,Clinical Trials Office - Robert H. Lurie Comprehensive Cancer,312-695-1301,cancer@northwestern.edu
NCT00899301,breast,Vanderbilt-Ingram Cancer Center,RECRUITING,Nashville,Tennessee,37232-6838,United States,36.16589,-86.78444,Clinical Trials Office - Vanderbilt-Ingram Cancer Center,800-811-8480,
NCT00899626,colorectal,Veterans Affairs Medical Center - Nashville,RECRUITING,Nashville,Tennessee,37212,United States,36.16589,-86.78444,Clinical Trials Office - Veterans Affairs Medical Center - Nas,615-327-4751,
NCT00899626,colorectal,Vanderbilt-Ingram Cancer Center,RECRUITING,Nashville,Tennessee,37232-6838,United States,36.16589,-86.78444,Clinical Trials Office - Vanderbilt-Ingram Cancer Center,800-811-8480,
NCT00900419,nsclc,University of Colorado Cancer Center at UC Health Sciences Center,RECRUITING,Aurora,Colorado,80045,United States,39.72943,-104.83192,Clinical Trials Office - University of Colorado Cancer Center,303-724-1657,
NCT00923221,prostate,National Institutes of Health Clinical Center,RECRUITING,Bethesda,Maryland,20892,United States,38.98067,-77.10026,,,
NCT00949819,prostate,University of California Los Angeles,RECRUITING,Los Angeles,California,90095,United States,34.05223,-118.24368,"Leonard S Marks, M.D.",,
NCT00969111,prostate,Proton Center of Arkansas,RECRUITING,Little Rock,Arkansas,72205,United States,34.74648,-92.28959,Monica Coleman,501-686-8274,mmcoleman@uams.edu
NCT00969111,prostate,University of Florida Proton Therapy Institute,RECRUITING,Jacksonville,Florida,32206,United States,30.33218,-81.65565,Intake Coordinator,877-686-6009,
NCT00969111,prostate,Northwestern Medicine Chicago Proton Center,RECRUITING,Warrenville,Illinois,60555,United States,41.81781,-88.1734,"Don Smith, MS, CCRC",630-933-7820,donald.smith3@nm.org
NCT00969111,prostate,McLaren Proton Therapy Center,RECRUITING,Flint,Michigan,48532,United States,43.01253,-83.68746,Stacy Freeman,313-576-8495,freemans@karmanos.org
NCT00969111,prostate,Mercy David C. Pratt Cancer Center,RECRUITING,St Louis,Missouri,63141,United States,38.62727,-90.19789,Nancy Umbeck,314-251-7066,nancy.umbeck@mercy.net
NCT00969111,prostate,Inova Schar Cancer Institute,RECRUITING,Fairfax,Virginia,22031,United States,38.84622,-77.30637,Sangeetha Moturi,571-472-0343,sangeetha.moturi@inova.org
NCT00991094,breast,M D Anderson Cancer Center,RECRUITING,Houston,Texas,77030,United States,29.76328,-95.36327,Steven J. Frank,713-563-2300,
NCT01000883,breast,Lineberger Comprehensive Cancer Center at University of North Carolina - Chapel Hill,RECRUITING,Chapel Hill,North Carolina,27599-7295,United States,35.9132,-79.05584,Clinical Trials Office - Lineberger Comprehensive Cancer Cente,877-668-0683,
NCT01034033,breast,Stanford University School of Medicine,RECRUITING,Stanford,California,94305,United States,37.42411,-122.16608,Meredith Mills,650-724-5223,bluett@stanford.edu
NCT01035112,breast,Stanford University School of Medicine,RECRUITING,Stanford,California,94305,United States,37.42411,-122.16608,Jocelyn Steffen,650-725-1812,jsteffen@stanford.edu
NCT01042379,breast,University of Alabama at Birmingham,RECRUITING,Birmingham,Alabama,35294,United States,33.52066,-86.80249,"Erica Stringer-Reasor, MD",,
NCT01042379,breast,Mayo Clinic - Scottsdale,NOT_YET_RECRUITING,Scottsdale,Arizona,85259,United States,33.50921,-111.89903,,507-538-7623,
NCT01042379,breast,University of Arizona,ACTIVE_NOT_RECRUITING,Tucson,Arizona,85724,United States,32.22174,-110.92648,,,
NCT01042379,breast,"University of California - Davis, Comprehensive Cancer Center",RECRUITING,Davis,California,95817,United States,38.54491,-121.74052,"Mili Arora, MD",,
NCT01042379,breast,City of Hope,RECRUITING,Duarte,California,91010,United States,34.13945,-117.97729,,800-826-4673,
NCT01042379,breast,University of California San Diego,RECRUITING,La Jolla,California,92093-0698,United States,32.84727,-117.2742,,858-822-6194,
NCT01042379,breast,University of Southern California,RECRUITING,Los Angeles,California,90033,United States,34.05223,-118.24368,"Kristy Watkins, RN",323-865-0452,Watkins_K@ccnt.usc.edu
NCT01042379,breast,HOAG Memorial Hospital Presbyterian,RECRUITING,Newport Beach,California,92663,United States,33.61891,-117.92895,"Chaitali Nangia, MD",,
NCT01042379,breast,University of California San Francisco (UCSF),RECRUITING,San Francisco,California,94115,United States,37.77493,-122.41942,Clinical Research Coordinator,415-443-4296,ispycrc@ucsf.edu
NCT01042379,breast,University of Colorado Cancer Center,RECRUITING,Aurora,Colorado,80045,United States,39.72943,-104.83192,,720-848-1622,
NCT01042379,breast,Yale Cancer Center,RECRUITING,New Haven,Connecticut,06510,United States,41.30815,-72.92816,"Trisha Burello, MS",203-737-2848,trisha.burrello@yale.edu
NCT01042379,breast,Georgetown University Medical Center,RECRUITING,Washington D.C.,District of Columbia,20007,United States,38.89511,-77.03637,"Minetta Liu, MD",202-444-3677,Liumc@georgetown.edu
NCT01042379,breast,H. Lee Moffitt Cancer Center and Research Institute,RECRUITING,Tampa,Florida,33612,United States,27.94752,-82.45843,"Hyo Heather Han, MD",,
NCT01042379,breast,Moffitt Cancer Center,RECRUITING,Tampa,Florida,33612,United States,27.94752,-82.45843,"Heather Han, MD",,
NCT01042379,breast,Winship Cancer Institute of Emory University,RECRUITING,Atlanta,Georgia,30322,United States,33.749,-84.38798,"Kevin Kalinsky, MD",,
NCT01042379,breast,University of Chicago,RECRUITING,Chicago,Illinois,60453,United States,41.85003,-87.65005,,773-834-2756,
NCT01042379,breast,Loyola University,RECRUITING,Maywood,Illinois,60153,United States,41.8792,-87.84312,,708-327-3102,
NCT01042379,breast,University of Kansas,ACTIVE_NOT_RECRUITING,Westwood,Kansas,66205,United States,39.04056,-94.6169,,,
NCT01042379,breast,"Herbert-Herman Cancer Center, Sparrow Hospital",RECRUITING,Lansing,Michigan,48912,United States,42.73253,-84.55553,"Brittani Thomas, DO",,
NCT01042379,breast,University of Minnesota,RECRUITING,Minneapolis,Minnesota,55455,United States,44.97997,-93.26384,,612-626-8487,
NCT01042379,breast,Mayo Clinic,RECRUITING,Rochester,Minnesota,55905,United States,44.02163,-92.4699,,507-538-7623,
NCT01042379,breast,"Metro Minnesota Community Oncology Research Consortium, Hennepin County Medical Center",RECRUITING,Saint Louis Park,Minnesota,55416,United States,44.9483,-93.34801,"Satya Bommakanti, MD",,
NCT01042379,breast,Rutgers Cancer Institute of New Jersey,RECRUITING,New Brunswick,New Jersey,08903,United States,40.48622,-74.45182,,732-235-7356,
NCT01042379,breast,Roswell Park Cancer Institute,RECRUITING,Buffalo,New York,14263,United States,42.88645,-78.87837,"Ellis Levine, MD",,
NCT01042379,breast,Laura and Isaac Perlmutter Cancer Center / NYU Langone Health,RECRUITING,New York,New York,10016,United States,40.71427,-74.00597,Yannis Karamitas,,Yannis.Karamitas@nyulangone.org
NCT01042379,breast,Columbia University Medical Center,RECRUITING,New York,New York,10032,United States,40.71427,-74.00597,"Meghana Trivedi, MD",,
NCT01042379,breast,University of Rochester Wilmot Cancer Institute,RECRUITING,Rochester,New York,14642,United States,43.15478,-77.61556,,,WCICTOResearch@urmc.rochester.edu
NCT01042379,breast,Montefiore Medical Center,RECRUITING,The Bronx,New York,10467,United States,40.84985,-73.86641,Jesus D Anampa,,
NCT01042379,breast,Wake Forest Baptist Comprehensive Cancer Center,RECRUITING,Winston-Salem,North Carolina,27157,United States,36.09986,-80.24422,"Angela Howell, MD",336-716-5440,anhowell@wakehealth.edu
NCT01042379,breast,Cleveland Clinic,RECRUITING,Cleveland,Ohio,44106,United States,41.4995,-81.69541,,800-233-2273,
NCT01042379,breast,"The Ohio State University, Stefanie Spielman Comprehensive Breast Center",RECRUITING,Columbus,Ohio,43212,United States,39.96118,-82.99879,"Nicole Williams, MD",,
NCT01042379,breast,Oregon Health & Science Institute (OHSU),RECRUITING,Portland,Oregon,97239,United States,45.52345,-122.67621,Brienna Palm,503-494-4438,palmb@ohsu.edu
NCT01042379,breast,University of Pennsylvania (U Penn),RECRUITING,Philadelphia,Pennsylvania,19104,United States,39.95238,-75.16362,,215-614-1850,
NCT01042379,breast,University Pittsburgh Medical Center,ACTIVE_NOT_RECRUITING,Pittsburgh,Pennsylvania,15213,United States,40.44062,-79.99589,,,
NCT01042379,breast,Sanford Clinical Research,RECRUITING,Sioux Falls,South Dakota,57104,United States,43.54369,-96.72796,"Amy Sanford, MD",,
NCT01042379,breast,Vanderbilt University Medical Center,ACTIVE_NOT_RECRUITING,Nashville,Tennessee,27204,United States,36.16589,-86.78444,,,
NCT01042379,breast,"University of Texas, Southwestern Medical Center",ACTIVE_NOT_RECRUITING,Dallas,Texas,75390-9155,United States,32.78306,-96.80667,,,
NCT01042379,breast,"University of Texas, M.D. Anderson Cancer Center",ACTIVE_NOT_RECRUITING,Houston,Texas,77230-1439,United States,29.76328,-95.36327,,,
NCT01042379,breast,"Huntsman Cancer Institute, University of Utah",RECRUITING,Salt Lake City,Utah,84112,United States,40.76078,-111.89105,"Christos Vaklavas, MD",,
NCT01042379,breast,Inova Health System,ACTIVE_NOT_RECRUITING,Falls Church,Virginia,22042,United States,38.88233,-77.17109,,,
NCT01042379,breast,Swedish Cancer Institute,ACTIVE_NOT_RECRUITING,Seattle,Washington,98104,United States,47.60621,-122.33207,,,
NCT01042379,breast,University of Washington,ACTIVE_NOT_RECRUITING,Seattle,Washington,98115,United States,47.60621,-122.33207,,,
NCT01042548,breast,UPMC St. Margaret,RECRUITING,Pittsburgh,Pennsylvania,15215,United States,40.44062,-79.99589,Laura Chiesa,412-831-1320,powersl2@upmc.edu
NCT01050504,prostate,Fred Hutch/University of Washington Cancer Consortium,RECRUITING,Seattle,Washington,98109,United States,47.60621,-122.33207,Robert B. Montgomery,206-598-0856,rbmontgo@uw.edu
NCT01102569,breast,Columbia University Medical Center,RECRUITING,New York,New York,10032,United States,40.71427,-74.00597,"Fay Kastrinos, MD",212-305-1021,fk18@columbia.edu
NCT01174121,breast,National Institutes of Health Clinical Center,RECRUITING,Bethesda,Maryland,20892,United States,38.98067,-77.10026,,,
NCT01185132,breast,Rocky Mountain Cancer Centers - Aurora,RECRUITING,Aurora,Colorado,80012,United States,39.72943,-104.83192,"Dennis Carter, MD",,
NCT01185132,breast,Rocky Mountain Cancer Centers - Boulder,RECRUITING,Boulder,Colorado,80303,United States,40.01499,-105.27055,"Andrew Antell, MD",,
NCT01185132,breast,Rocky Mountain Cancer Centers - Lakewood,RECRUITING,Lakewood,Colorado,80228,United States,39.70471,-105.08137,"Ralph Wright, MD",,
NCT01185132,breast,Rocky Mountain Cancer Centers - Littleton,RECRUITING,Littleton,Colorado,80120,United States,39.61332,-105.01665,"Charles Leonard, MD",,
NCT01185132,breast,Rocky Mountain Cancer Centers - Thornton,RECRUITING,Thornton,Colorado,80260,United States,39.86804,-104.97192,"Robert LaPorte, MD",,
NCT01365169,colorectal,M D Anderson Cancer Center,RECRUITING,Houston,Texas,77030,United States,29.76328,-95.36327,Susan K. Peterson,713-792-8267,
NCT01416714,colorectal,The University of Chicago,RECRUITING,Chicago,Illinois,60637,United States,41.85003,-87.65005,"Daniel Catenacci, MD",773-702-7596,dcatenac@medicine.bsd.uchicago.edu
NCT01441089,breast,National Institutes of Health Clinical Center,RECRUITING,Bethesda,Maryland,20892,United States,38.98067,-77.10026,For more information at the NIH Clinical Center contact Office of Patient Recruitment (OPR),800-411-1222,ccopr@nih.gov
NCT01492972,prostate,Mayo Clinic,RECRUITING,Scottsdale,Arizona,85259-5499,United States,33.50921,-111.89903,: Clinical Trials Office - All Mayo Clinic Locations,855-776-0015 (toll free),
NCT01492972,prostate,Northwestern Medicine Chicago Proton Center,RECRUITING,Warrenville,Illinois,60555,United States,41.81781,-88.1734,"Don Smith, MS, CCRC",630-933-7820,donald.smith3@nm.org
NCT01492972,prostate,Oklahoma Proton Center,RECRUITING,Oklahoma City,Oklahoma,73142,United States,35.46756,-97.51643,Angela Beebe,405-773-6708,angela.beebe@okcproton.com
NCT01492972,prostate,Hampton University Proton Therapy Institute,RECRUITING,Hampton,Virginia,23666,United States,37.02987,-76.34522,"Donna Sternberg, RN, BSN, OCN",757-251-6839,donna.Sternberg@hamptonproton.org
NCT01503190,breast,University of Colorado Denver,RECRUITING,Aurora,Colorado,80045,United States,39.72943,-104.83192,Hannah Parris,720-848-4170,hannah.parris@cuanschutz.edu
NCT01503190,breast,Denver Health Hospital Authority,RECRUITING,Denver,Colorado,80204,United States,39.73915,-104.9847,Hannah Parris,720-848-4170,hannah.parris@cuanschutz.edu
NCT01503190,breast,UCHealth Cherry Creek Medcial Center,RECRUITING,Denver,Colorado,80206,United States,39.73915,-104.9847,Hannah Parris,720-848-4170,hannah.parris@cuanschutz.edu
NCT01503190,breast,UCHealth Highlands Ranch Hospital,RECRUITING,Highlands Ranch,Colorado,80129,United States,39.55388,-104.96943,Hannah Parris,720-848-4170,hannah.parris@cuanschutz.edu
NCT01503190,breast,UCHealth Lone Tree Medical Center,RECRUITING,Lone Tree,Colorado,80124,United States,39.55171,-104.8863,Hannah Parris,720-848-4170,hannah.parris@cuanschutz.edu
NCT01521741,breast,Massachusetts General Hospital,RECRUITING,Boston,Massachusetts,02134,United States,42.35843,-71.05977,"Alphonse G Taghian, MD PhD",617-726-6050,ataghian@partners.org
NCT01530373,breast,"Winthrop P. Rockefeller Cancer Institute, University of Arkansas for Medical Sciences",RECRUITING,Little Rock,Arkansas,722205,United States,34.74648,-92.28959,"Allen C Sherman, PhD",501-686-8700,shermanallenc@uams.edu
NCT01639508,nsclc,Memorial Sloan Kettering Basking Ridge,RECRUITING,Basking Ridge,New Jersey,07920,United States,40.70621,-74.54932,"Alexander Drilon, MD",646-888-4206,
NCT01639508,nsclc,Memorial Sloan Kettering Monmouth,RECRUITING,Middletown,New Jersey,07748,United States,40.39428,-74.11709,"Alexander Drilon, MD",646-888-4206,
NCT01639508,nsclc,Memorial Sloan Kettering Bergen,RECRUITING,Montvale,New Jersey,07645,United States,41.04676,-74.02292,"Alexander Drilon, MD",646-888-4206,
NCT01639508,nsclc,Memorial Sloan Kettering Commack,RECRUITING,Commack,New York,11725,United States,40.84288,-73.29289,"Alexander Drilon, MD",646-888-4206,
NCT01639508,nsclc,Memorial Sloan Kettering Westchester,RECRUITING,Harrison,New York,10604,United States,40.96899,-73.71263,"Alexander Drilon, MD",646-888-4206,
NCT01639508,nsclc,Memorial Sloan Kettering Cancer Center,RECRUITING,New York,New York,10065,United States,40.71427,-74.00597,"Alexander Drilon, MD",646-888-4206,
NCT01639508,nsclc,Memorial Sloan Kettering Nassau,RECRUITING,Uniondale,New York,11553,United States,40.70038,-73.59291,"Alexander Drilon, MD",646-888-4188,
NCT01720836,nsclc,UPMC Hillman Cancer Center,RECRUITING,Pittsburgh,Pennsylvania,15232,United States,40.44062,-79.99589,,,
NCT01766297,breast,Mayo Clinic,RECRUITING,Scottsdale,Arizona,85259,United States,33.50921,-111.89903,Karla Shields Morales,855-776-0015 (toll free),shieldsmorales.karla@mayo.edu
NCT01766297,breast,California Protons Cancer Therapy Center,RECRUITING,San Diego,California,92121,United States,32.71571,-117.16472,"Alexandra Crawford, MPH",858-549-7431,alexandra.crawford@californiaprotons.com
NCT01766297,breast,Northwestern Medicine Chicago Proton Center,RECRUITING,Warrenville,Illinois,60555,United States,41.81781,-88.1734,"Don Smith, MS, CCRC",630-933-7820,donald.smith3@nm.org
NCT01766297,breast,Maryland Proton Treatment Center,RECRUITING,Baltimore,Maryland,21201,United States,39.29038,-76.61219,Caitlin Eggleston,410-328-7586,caitlineggleston@umm.edu
NCT01766297,breast,McLaren Proton Therapy Center,RECRUITING,Flint,Michigan,48532,United States,43.01253,-83.68746,Bradley Olsen,313-576-9730,olsenb@karmanos.org
NCT01766297,breast,New York Proton Center,RECRUITING,New York,New York,10035,United States,40.71427,-74.00597,Ryan Holder,646-968-9055,rholder@nyproton.com
NCT01766297,breast,Oklahoma Proton Center,RECRUITING,Oklahoma City,Oklahoma,73142,United States,35.46756,-97.51643,Angela Beebe,405-773-6708,angela.beebe@okcproton.com
NCT01766297,breast,Inova Schar Cancer Institute,RECRUITING,Fairfax,Virginia,22031,United States,38.84622,-77.30637,Sangeetha Moturi,571-472-0343,sangeetha.moturi@inova.org
NCT01766297,breast,Hampton University Proton Therapy Institute,RECRUITING,Hampton,Virginia,23666,United States,37.02987,-76.34522,"Donna Sternberg, RN, BSN, OCN",757-251-6839,donna.sternberg@hamptonproton.org
